OBJECTID,agency,comments,mapmethod,datecurrent,uniquefireidentifier,fireyear,incidentname,pooownerunit,perimeterdatetime,acres_burned,complexname,firecode,complexparentirwinid,pooresponsibleunit,state,inciwebid,localincidentidentifier,irwinid,incomplex,complexfirecode,shape__Area,shape__Length
161,USFS,IR,Infrared Image,2/10/2012 0:00,2010-IDBOF-000746,2010,Frazier,,8/29/2010 0:00,563.8323172,,FTR5,,IDBOF,ID,,746,,N,,4425130.445,9080.914155
164,BIA,GPS walked,GPS-Walked,9/7/2010 0:00,2010-IDFHA-010012,2010,Ross Fork 2,,8/25/2010 0:00,112.8521155,,FS5D,,IDFHA,ID,,10012,,N,,852802.25,4907.804081
165,NPS,GPS  Ground,GPS-Walked/ Driven,2/10/2012 0:00,2010-FLBCP-100034,2010,Turner River Road,,8/23/2010 0:00,5.09551004,,FS2P,,FLBCP,FL,,100034,,N,,25637.75,1038.546025
166,BLM,Garmin Etrex Vista,GPS-Unknown Travel Method,3/29/3013 0:00,2010-UTMOD-000059,2010,Nash Wash,,6/9/2010 0:00,22.40787666,,FFR4,,UTMOD,UT,,59,,N,,150601.0117,2183.055861
179,BLM,,Unkown,8/24/2005 0:00,2005-AKTAD-000520,2005,Grant Dome,,8/23/2005 0:00,4668.792575,,,,AKTAD,AK,,520,,N,,107517960.1,69294.24256
195,BLM,,Unknown,8/12/2009 0:00,2009-AKUYD-000347,2009,Rock Slough,,8/11/2009 22:15,62313.35879,,E0EU,,AKUYD,AK,,347,,N,,1645750878,870583.2344
231,State Agency,,Unknown,2/12/2013 0:00,2009-NVNWS-001176,2009,Miller,,9/25/2009 0:00,610.0674079,,E7P4,,NVNWS,NV,,1176,,N,,4100781.66,10745.75444
248,USFS,,Unknown,1/8/2013 0:00,2009-MTKNF-000155,2009,Lawrence Mtn,,9/2/2009 16:43,2316.27558,,E6KG,,MTKNF,MT,,155,,N,,21429138.98,24268.62081
249,USFS,,Unknown,1/8/2013 0:00,2009-MTBDF-000026,2009,Bielenburg,,7/12/2009 0:00,175.6602594,,E2C8,,MTBDF,MT,,26,,N,,1488379.469,5155.546243
250,USFS,,Unknown,1/8/2013 0:00,2009-MTBDF-000049,2009,Table Mountain,,9/12/2009 14:31,213.4462935,,E62V,,MTBDF,MT,,49,,N,,1793711.102,5248.505533
268,Unknown,,Unknown,6/3/2008 0:00,2004-AK,2004,Susulatna,,7/19/2004 0:00,449.0798341,,,,AK,AK,,,,N,,9229036.109,17083.53371
386,Unknown,Unknown Fire Name,,,2001-AK,2001,,,6/29/2001 0:00,156.1258973,,,,,AK,,,,N,,3127934.797,12637.09214
393,BLM,,Unknown,4/1/2010 0:00,2005-AZASD-BW3W,2005,Rim,,6/28/2005 18:59,194.8471093,,BW3W,,AZASD,AZ,,,,N,,1236358.438,4933.525141
396,BLM,,Unknown,5/28/2008 0:00,2005-NVCCD-001331,2005,Mustang,,7/28/2005 0:00,11.55074055,,B2AX,,NVCCD,NV,,1331,,N,,78530.05859,1693.710973
397,BLM,,Unknown,5/28/2008 0:00,2005-NVCCD-001320,2005,Job,,7/26/2005 0:00,79.83171003,,B12N,,NVCCD,NV,,1320,,N,,544125.9961,4224.398099
419,Unknown,Unknown Fire Name,,,2001-ID-FAFB,2001,,,6/13/2001 0:00,113.6771945,,,,,ID,,FAFB,,N,,867061.918,8152.865347
425,USFS,,Unknown,3/7/2012 0:00,2005-MTFNF-050017,2005,Kelly Point,,8/6/2005 0:00,3598.442729,,B3E2,,MTFNF,MT,,50017,,N,,32173762.08,38787.48261
449,USFS,,GPS-Unknown Travel Method,3/5/2012 0:00,2003-UTFIF-000085,2003,South Marvine,,7/2/2003 0:00,324.9802596,,,,UTFIF,UT,,85,,N,,2158015.512,7741.571274
451,BLM,,Unknown,4/25/2011 0:00,2003-CANOD-000663,2003,Mine,,8/20/2003 0:00,14.22726508,,,,CANOD,CA,,663,,N,,100174.6758,1414.825339
486,Unknown,Unknown Fire Name,,,2001-ID-FAFB,2001,,,6/13/2001 0:00,3.02212855,,,,,ID,,FAFB,,N,,23063.71484,694.7553668
539,BLM,,GPS-Unknown Travel Method,11/4/2011 0:00,2003-COCRD-E215,2003,Dark Horse,,7/22/2003 0:00,21.49031356,,,,CO,CO,,E215,,N,,150497.2188,2106.798425
540,USFS,,GPS-Unknown Travel Method,3/5/2012 0:00,2003-WYBTF-000031,2003,Lloyd,,8/28/2003 0:00,255.1971202,,,,WYBTF,WY,,31,,N,,1961870.77,11789.42937
553,BLM,,GPS-Unknown Travel Method,2/10/2014 0:00,2003-ORVAD-M730,2003,Whiskey Springs,,8/5/2003 0:00,32.15627598,,,,ORVAD,OR,,M730,,N,,242195.582,2700.385323
563,USFS,FIMT,Unknown,8/13/2008 0:00,2008-CASHF-001041,2008,China,,8/12/2008 22:14,35.03345824,LIME COMPLEX,,,CASHF,CA,,1041,,Y,D8HC,245555.0469,2720.484392
565,BLM,WFDSS; GPS ground,GPS-Walked/ Driven,6/24/2010 0:00,2010-UTSLD-000171,2010,Hellerbeck,,6/24/2010 1:30,9.15841069,,FG0G,,UTSLD,UT,,171,,N,,64613.27344,2000.764444
566,State agency,IR heat perimeter; named '284' in FireCode,Infrared Image,6/2/2010 0:00,2010-AKDAS-012284,2010,Healy,,6/2/2010 4:42,74.51930948,,FE22,,AKDAS,AK,,12284,,N,,1566051.766,6100.789087
567,BLM,GPS,GPS-Unknown Travel Method,4/28/2011 0:00,2010-WYWBD-000326,2010,Middle Fork,,8/24/2010 0:00,116.3712128,,FS2V,,WYWYD,WY,,326,,N,,900884.9063,7413.149692
568,Unknown,Unknown Date; Unknown Fire Name,Unknown,,2002-MT,2002,,,12/31/2002 0:00,15395.85629,,,,,MT,,,,N,,141343718.8,185724.0154
569,Unknown,,Infrared Image,9/16/2002 0:00,2002-ORUPF-000069,2002,Tiller Complex,,9/12/2002 22:00,65143.97099,Tiller Complex,,,ORUPF,OR,,69,,Y,,494768094.3,295371.4614
570,USFS,WFDSS; GPS ground,GPS-Walked/ Driven,8/19/2010 0:00,2010-UTFIF-000217,2010,South Water Hollow,,8/16/2010 19:30,14.93412972,,FR0Q,,UTFIF,UT,,217,,N,,99792.25,1893.648465
571,USFS,WFDSS; GPS ground,GPS-Walked/ Driven,7/22/2010 0:00,2010-MTGNF-000005,2010,May,,5/24/2010 0:00,4.4385783,,FD7C,,MTGNF,MT,,5,,N,,36596.44922,869.1449938
572,NPS,WFDSS; GPS ground,GPS-Walked/ Driven,7/20/2010 0:00,2010-NMEMP-000245,2010,Lava,,7/5/2010 12:00,0.66968052,,FHT9,,NMEMP,NM,,245,,N,,4031.324219,288.45885
573,USFS,WFDSS; GPS ground,GPS-Walked/ Driven,7/22/2010 0:00,2010-FLFNF-010024,2010,Jackson,,5/24/2010 8:00,14.09458415,,FEF0,,FLFNF,FL,,10024,,N,,76646.75,1278.62472
575,BLM,DOFFire 032572,Unknown,7/12/2010 0:00,2010-AKUYD-000572,2010,Fiasco Lake,,7/8/2010 0:00,673.7019228,,FJC0,,AKUYD,AK,,572,,N,,16303522.25,29518.47449
576,FWS,WFDSS; GPS air,GPS-Flight,7/22/2010 0:00,2010-LASWR-FD8P,2010,Phone Pine,,7/7/2010 0:00,625.1648633,,FD8P,,LASWR,LA,,,,N,,3381372.969,13104.91261
580,USFS,FIMT,Unknown,8/31/2010 0:00,2010-CATNF-001579,2010,Bullard,,8/29/2010 21:00,1289.090007,,FTP0,,CATNF,CA,,1579,,N,,8745865.102,19631.53174
581,State Agency,GPS ground,GPS-Walked/ Driven,4/14/2011 0:00,2010-CASHU-004972,2010,Beaver,,7/12/2010 15:00,183.3138923,,FK5E,,CASHU,CA,,4972,,N,,1303286.629,7126.472964
583,Local Agency,Mixed collection methods; No entry in FireCode,Mixed Methods,4/14/2011 0:00,2010-CALAC-141371,2010,Calgrove,,6/25/2010 0:00,7.45639587,,,,CALAC,CA,,141371,,N,,44367.28516,1564.48811
586,Local Agency,GPS ground,GPS-Walked/ Driven,4/14/2011 0:00,2010-CAKRN-081387,2010,Caliente,,7/1/2010 16:30,48.09393891,,FH3R,,CAKRN,CA,,81387,,N,,292560.8125,2943.737331
587,State Agency,GPS ground,GPS-Walked/ Driven,4/14/2011 0:00,2010-CATUU-000361,2010,Canal,,9/5/2010 17:29,157.9834984,,FUG2,,CATUU,CA,,361,,N,,992222.6836,6164.931864
588,State Agency,GPS ground; No entry in FireCode,GPS-Walked/ Driven,4/14/2011 0:00,2010-CANEU-014532,2010,Chamberlin,,7/13/2010 0:00,22.29211042,,,,CANEU,CA,,14532,,N,,149362.7227,2261.391265
592,State Agency,GPS ground,GPS-Walked/ Driven,4/14/2011 0:00,2010-CARRU-077822,2010,Clinton,,9/1/2010 14:22,64.97097457,,FT6G,,CARRU,CA,,77822,,N,,379535.9141,3919.444087
595,State Agency,GPS ground; Named 'Stokes' in FireCode,GPS-Walked/ Driven,4/14/2011 0:00,2010-CATUU-000320,2010,Stokes 2,,8/17/2010 21:38,895.2641935,,FR5J,,CATUU,CA,,320,,N,,5621391.25,14171.09509
602,Unknown,,Unknown,6/16/2002 0:00,2002-COGJD-000281,2002,Long Canyon,,6/14/2002 0:00,1415.478201,Miracle Complex,,,COGJD,CO,,281,,Y,,9618503.309,21634.80958
605,State agency,No entry in FireCode; GPS,GPS-Unknown Travel Method,1/13/2011 0:00,2009-CA-013593,2009,FIDDYMENT,,7/5/2009 0:00,70.48702031,,,,CA,CA,,13593,,N,,470498.7461,3879.670913
612,USFS,,GPS-Unknown Travel Method,8/16/2005 0:00,2005-IDFHA-000002,2005,14 Mile,,7/10/2005 0:00,56.18300948,,BZU5,,IDFHA,ID,,2,,N,,420944.668,3484.733172
613,CDF,,GPS-Flight,11/3/2010 0:00,2005-CASLU-008540,2005,REST STOP,,10/6/2005 15:20,20.66891454,,,,CASLU,CA,,8540,,N,,127032.1406,2267.36942
614,BLM,,GPS-Walked,7/7/2005 0:00,2005-UTSLD-000132,2005,Iron Hill,,6/26/2005 9:17,6.51184079,,,,UTSLD,UT,,132,,N,,45255.21875,1294.545875
617,Unknown,,GPS-Unknown Travel Method,2/10/2014 0:00,2002-ORVAD-N255,2002,MAHOGANY,,7/14/2002 0:00,8664.989819,,,,ORVAD,OR,,N255,,N,,66126681.53,53894.55327
627,BLM,,Unknown,3/29/2013 0:00,2009-UTSLD-E0GN,2009,Soldier,,7/1/2009 0:00,3.4578265,,E0GN,,UTSLD,UT,,,,N,,24170.39063,931.3974481
630,Unknown,,Unknown,5/28/2008 0:00,2002-CA,2002,Pan,,12/31/2002 0:00,371.1495804,,,,,CA,,,,N,,2449112.984,8706.28341
636,Unknown,,Unknown,2/12/2013 0:00,2002-NV-J051,2002,Williams,,9/24/2002 0:00,52.60939993,,,,,NV,,J051,,N,,375814.7773,4607.096409
647,CDF,No entry in FireCode,Unknown,,2000-CA-000531,2000,Parrotts,,8/5/2000 0:00,288.9980545,,,,,CA,,531,,N,,1888984.809,8137.18391
650,Unknown,Perimeter Date Unknown,GPS-Unknown Travel Method,,2000-NV,2000,South Etna,,12/31/2000 0:00,474.6332614,,,,,NV,,,,N,,3442121.215,8409.597716
653,Unknown,,Unknown,3/2/2012 0:00,2002-NM,2002,Adobe,,7/12/2002 0:00,425.892057,,,,,NM,,,,N,,2487475.383,7050.861662
661,Unknown,,Hand Sketch,9/22/2010 0:00,2002-CA,2002,LOON_5,,11/25/2002 0:00,21.23959598,,,,,CA,,,,N,,142336.0625,1493.215755
665,Unknown,Perimeter Date Unknown;  Fire Name Unknown,GPS-Unknown Travel Method,,2000-AZ,2000,,,12/31/2000 0:00,598.3351817,,,,,AZ,,,,N,,3480505.766,9985.733529
666,Unknown,Perimeter Date Unknown,GPS-Unknown Travel Method,,2000-ID,2000,Trail Creek,,12/31/2000 0:00,33150.63513,,,,,ID,,,,N,,257171757.5,90646.63269
674,Unknown,Perimeter Date Unknown,GPS-Unknown Travel Method,,2000-NV,2000,Parsnip,,12/31/2000 0:00,2015.514732,,,,,NV,,,,N,,13210628.2,14953.43437
683,Unknown,Perimeter Date Unknown,GPS-Unknown Travel Method,,2000-NV,2000,Hollow,,12/31/2000 0:00,1312.41018,,,,,NV,,,,N,,8485208.184,18106.68688
684,Unknown,,Unknown,7/21/2011 0:00,2002-OR-109465,2002,Deerhorn,,7/11/2002 0:00,118.0698274,,,,,OR,,109465,,N,,956093.125,4633.403521
685,Unknown,,Unknown,5/8/2008 0:00,2002-WY,2002,West End Fire,,12/31/2002 0:00,100.6399414,,,,,WY,,,,N,,755668.6992,4291.174449
688,BLM,,GPS-Unknown Travel Method,,2000-IDBOD-F049,2000,Mp63I84,,7/22/2000 0:00,1563.412319,,,,IDBOD,ID,,F049,,N,,12005585.05,26610.63088
689,BLM,No entry in FireCode,Unknown,,2000-COWRD,2000,Hard Rock,,1/1/2000 0:00,94.67651268,,,,COWRD,CO,,,,N,,654774.7773,5554.488746
694,Unknown,Unknown Date; Unknown Fire Name,Unknown,,2002-MT,2002,,,12/31/2002 0:00,0.64851757,,,,,MT,,,,N,,5902.625,336.6248457
698,USFS,,Hand Sketch,,2000-NM-000406,2000,Shirley,,9/25/2000 0:00,1827.27175,,,,,NM,,406,,N,,10632146.48,22356.67381
703,Unknown,,,,2001-CAAEU-009796,2001,Ethel,,7/7/2001 0:00,10.37271536,,,,CAAEU,CA,,9796,,N,,69020.23047,1400.071054
707,Unknown,,,,2001-ORMHF-000143,2001,Lemiti Fire,,8/17/2001 0:00,18.20785721,,,,ORMHF,OR,,143,,N,,146796.375,1804.780503
708,Unknown,,,,2001--000128,2001,Sepulcher,,8/20/2001 0:00,9.6370247,,,,,WY,,128,,N,,77966.23047,1021.557614
718,Unknown,,,,2001-ORBUD-M325,2001,Rincon,,5/26/2001 0:00,33.42428701,,,,ORBUD,OR,,M325,,N,,245185.2773,2377.192011
721,CDF,No entry in FireCode,Unknown,,2000-CA-000000,2000,Sereda,,12/31/2000 0:00,79.57681834,,,,,CA,,0,,N,,518074.2969,3875.123653
722,BLM,,Unknown,,2000-IDTFD-F582,2000,Silver Pk Rd,,7/4/2000 0:00,42.19931146,,,,IDTFD,ID,,F582,,N,,315666.0703,3247.671027
730,CDF,No entry in FireCode,Unknown,,2000-CA-002557,2000,Corp #12,,7/25/2000 0:00,11.63084968,,,,,CA,,2557,,N,,83948.17578,1405.799735
731,Unknown,,,,2001-CA,2001,Payen,,7/5/2001 0:00,302.1871539,,,,,CA,,,,N,,2005905.418,8337.355601
733,Unknown,,,,2001-ID-F766,2001,Birdseye,,6/13/2001 0:00,9.51132629,,,,,ID,,F766,,N,,75385.70703,1558.474252
734,Unknown,,,,2001-CAMDF-000084,2001,Fern,,7/14/2001 0:00,16.12971658,,,,CAMDF,CA,,84,,N,,116342.5078,1358.473777
735,Unknown,,,,2001-UTSLD-R045,2001,Home Buck,,8/4/2001 0:00,15.21376783,,,,UTSLD,UT,,R045,,N,,109534.4766,3159.565028
736,Unknown,,,,2001-CANOD-D438,2001,Cowhead,,8/8/2001 0:00,710.4725427,,,,CANOD,CA,,D438,,N,,5188016.32,16722.24517
740,Unknown,,,,2001-WASES-000554,2001,Dome Peak,,8/19/2001 0:00,2213.551274,,,,WASES,WA,,554,,N,,18951248.46,32265.95597
742,Unknown,Unknown Date,,,2001-NVELD-K163,2001,Destitute,,12/31/2001 0:00,8.72005727,,,,NVELD,NV,,K163,,N,,57375.6875,1969.545418
750,Unknown,,,,2001-AK,2001,Palmer Hay Flats,,5/20/2001 0:00,287.0185355,,,,,AK,,,,N,,5081095.625,13061.69979
754,Unknown,,,,2001-CA,2001,Mill Creek,,7/8/2001 0:00,47.56960472,,,,,CA,,,,N,,320386.0039,2497.364101
755,Unknown,,,,2001-CASTF-371669,2001,Beardsley,,5/2/2001 0:00,78.5342135,,,,CASTF,CA,,371669,,N,,516058.8242,3130.705352
756,Unknown,,,,2001-WYRAD-T485,2001,Duncan Mine,,7/19/2001 0:00,0.25877319,,,,WYRAD,WY,,T485,,N,,1926.898438,309.5265831
757,Unknown,,,,2001--000021,2001,Monarch,,10/1/2001 0:00,1686.536703,,,,,MT,,21,,N,,14704088.53,34069.68539
767,Unknown,,,,2001--000014,2001,Hoyt,,6/21/2001 0:00,209.8423593,,,,,NM,,14,,N,,1220249.316,5894.266825
768,Unknown,,,,2001-NVEIC-X246,2001,Stag Mountain,,8/9/2001 0:00,19584.89397,,,,NVEIC,NV,,X246,,N,,140889941.8,140901.3522
769,Unknown,,,,2001-NVEKD-X160,2001,Isolation,,7/8/2001 0:00,14006.22341,,,,NVEKD,NV,,X160,,N,,100490359.2,156978.445
770,Unknown,,,,2001-NV-K842,2001,Carico Fire,,9/19/2001 0:00,291.0449361,,,,,NV,,K842,,N,,2004323.34,12854.66672
771,Unknown,Unknown Date,,,2001-NMLCD-L392,2001,JACKSON B,,12/31/2001 0:00,1261.337303,,,,NMLCD,NM,,L392,,N,,7193740.441,22367.86008
782,BLM,Perimeter Date Unknown,Unknown,,2000-UTVLD-Q324,2000,New Derrick,,12/31/2000 0:00,18.15198317,,,,UTVLD,UT,,Q324,,N,,124404.7695,2512.87789
784,USFS,,GPS-Flight,9/12/2005 0:00,2005-MTBRF-000135,2005,Upper White Cap Fire,,9/9/2005 15:32,163.4822613,Selway-Salmon Complex,,,MTBRF,MT,,135,,Y,B3L5,1368385.398,10392.45677
786,BLM,,Unknown,5/28/2008 0:00,2005-NVLVD-B38B,2005,Overlook 2,,8/14/2005 0:00,61.99776975,,B38B,,NVLVD,NV,,,,N,,385251.168,2617.151715
787,Unknown,,,,2001-IDBOD-F130,2001,Lockman Bt,,6/7/2001 0:00,130.7914219,,,,IDBOD,ID,,F130,,N,,997195.7031,4821.876783
794,BLM,,Digitized-Other,,2000-WYWOD-T151,2000,Buffalo Creek,,7/27/2000 0:00,6.70588882,,,,WYWOD,WY,,T151,,N,,52149.07031,1256.78117
810,BLM,,Unknown,4/1/2013 0:00,2004-UTRID-000015,2004,Meadow,,9/9/2004 0:00,521.363973,,BE4D,,UTRID,UT,,15,,N,,3489937.949,10823.21346
811,BLM,,GPS-Unknown Travel Method,2/10/2014 0:00,2004-ORPRD-BGE6,2004,THREE RIVERS,,8/10/2004 0:00,43.28081816,,BGE6,,ORPRD,OR,,,,N,,344966.6094,4668.812293
812,USFS,,GPS-Unknown Travel Method,3/5/2012 0:00,2004-NMABZ-000085,2004,George,,3/16/2004 0:00,236.0357086,,A0S0,,NMABZ,NM,,85,,N,,1454572.922,4350.740669
813,USFS,,GPS-Flight,10/4/2010 0:00,2004-CASTF-001732,2004,Early,,8/9/2004 11:25,1724.758026,,BA1B,,CASTF,CA,,1732,,N,,11224188.55,15413.05203
814,USFS,,Unknown,10/4/2010 0:00,2004-CA,2004,Elizabeth,,8/10/2004 0:00,14.31709806,,,,CA,CA,,,,N,,85743.75781,1149.789958
845,BLM,GPS,GPS-Unknown Travel Method,2/11/2014 0:00,2007-ORBUD-007132,2007,Independence,,7/4/2007 0:00,2.12564437,,DMK5,,ORBUD,OR,,7132,,N,,16304.03125,471.9511032
862,Unknown,,Unknown,6/11/2008 0:00,2002-AK-,2002,Cottonwood Bar,,8/2/2002 0:00,13555.34607,,,,,AK,,,,N,,394616282.8,103634.116
870,BLM,Unknown Date,Unknown,8/14/2008 0:00,2005-UTNWS-000011,2005,Geneva Taylor,,12/31/2005 0:00,122.5220687,,BLR7,,UTSLD,UT,,11,,N,,852309.5508,4317.55305
874,BLM,Unknown Date,Unknown,8/14/2008 0:00,2005-UTNWS-0000223,2005,ERDA FIRE,,12/31/2005 0:00,220.4968421,,BZ89,,UTSLD,UT,,223,,N,,1548851.918,7288.007805
880,NPS,PERIM_DATE is populated from California CONT_DATE field vs. COLL_DATE field.,GPS-Flight,9/1/2006 0:00,2005-CACDD-001753,2005,Kingston 2,,8/1/2005 12:00,590.6692069,,B2HF,,CAMNP,CA,,1753,,N,,3634517.934,10834.38682
881,NPS,PERIM_DATE is populated from California CONT_DATE field vs. COLL_DATE field.,GPS-Flight,9/1/2006 0:00,2005-CALNU-007185,2005,Rumsey,,10/12/2005 12:00,46.23800688,,B75N,,CALNU,CA,,7185,,N,,309653.2148,2473.646505
882,BLM,,Unkown,8/18/2005 0:00,2005-AKUYD-000191,2005,Kandik River,,8/17/2005 0:00,102449.7627,,,,AKUYD,AK,,191,,N,,2456261380,655275.4297
897,BLM,,Unknown,3/7/2012 0:00,2005-IDBOD-002018,2005,Tippy Bird,,8/3/2005 0:00,50.70638846,,B2UF,,IDBOD,ID,,2018,,N,,387031.8047,3274.54425
898,NPS,,Unknown,7/6/2005 0:00,2005-AKTAD-000238,2005,McKinley River,,7/5/2005 0:00,110.0255365,,,,AKTAD,AK,,238,,N,,2281059.938,8562.64471
899,USFS,,GPS-Unknown Travel Method,7/18/2005 0:00,2005-COPSF-000683,2005,Mason Gulch,,7/15/2005 10:22,11366.20185,,,,COPSF,CO,,683,,N,,74515874.63,43775.39319
900,Unknown,,GPS-Flight,9/22/2010 0:00,2002-CA,2002,BURNS,,9/19/2002 0:00,491.7476924,,,,,CA,,,,N,,3372912.051,7694.630211
902,Unknown,,Hand Sketch,9/22/2010 0:00,2002-CA,2002,CHINOOK,,5/29/2002 0:00,2.00236691,,,,,CA,,,,N,,13052.14453,419.9855212
939,Unknown,,Unknown,9/22/2010 0:00,2002-CA,2002,D_AGOSTINI,,9/3/2002 0:00,16.84435093,,,,,CA,,,,N,,111748.5625,1310.711893
944,CDF,,Mixed Methods,11/3/2010 0:00,2005-CA,2005,152 FIRE,,6/14/2005 0:00,193.6127525,,,,CA,CA,,005-CA,,N,,1232938.75,8082.81233
958,USFS,,Unknown,3/7/2012 0:00,2005-IDCWF-050609,2005,Powell Complex,,8/10/2005 0:00,371.4047258,Powell Complex,,,IDCWF,ID,,50609,,Y,B5QW,3153380.086,10639.71634
964,BLM,,Unknown,6/9/2008 0:00,2005-AKGAD-531404,2005,West Yuki River,,7/4/2005 0:00,306.1460018,,BX6J,,AKGAD,AK,,531404,,N,,6542337.797,14287.93749
971,BLM,Unknown Date,Unknown,8/29/2008 0:00,2006-UTSLD-000982,2006,Timpie,,12/31/2006 0:00,230.1544859,,C5CD,,UTSLD,UT,,982,,N,,1622464.75,7487.879566
975,Unknown,Perimeter Date Unknown,GPS-Unknown Travel Method,,2000-ID,2000,East Thunder,,12/31/2000 0:00,4.90526657,,,,,ID,,,,N,,45130.75,757.7431284
982,Unknown,,Unknown,9/22/2010 0:00,2002-CA,2002,EAGLE,,7/25/2002 0:00,184.2407896,,,,,CA,,,,N,,1344038.77,5413.267436
992,BLM,,Unknown,3/7/2012 0:00,2005-IDTFD-000842,2005,Eden,,8/2/2005 0:00,136.8313851,,B2VP,,IDTFD,ID,,842,,N,,1027428.547,5461.655401
993,BLM,,Unknown,3/7/2012 0:00,2005-IDSIX-000846,2005,Eden 2,,8/2/2005 0:00,24.07392562,,B2WM,,IDTFD,ID,,846,,N,,180580.5078,3137.241099
997,State agency,,Unknown,7/11/2008 0:00,2008-CASHU-001108,2008,SHF,,7/11/2008 8:30,542.602465,SHU JUNE LIGHTNING,,,CASHU,CA,,1108,,Y,D8LP,3804715.34,7285.028291
1013,USFS,WFDSS; GPS air,GPS-Flight,7/21/2010 0:00,2010-FLFNF-010023,2010,#3 TRAIL,,5/23/2010 0:00,191.1451409,,FEE9,,FLFNF,FL,,10023,,N,,1043311.105,4114.302037
1021,State Agency,No Entry in FireCode,Unknown,12/27/2010 0:00,2007-CALNU-005933,2007,Hwy 128,,8/14/2007 0:00,508.3398217,,,,CALNU,CA,,5933,,N,,3364446.777,7855.308996
1028,State Agency,No Entry in FireCode; GPS ground,GPS-Walked/ Driven,12/27/2010 0:00,2007-CA-020203,2007,Sixtyfive 2,,9/14/2007 0:00,30.92745744,,,,CA,CA,,20203,,N,,207218.0313,1960.430922
1029,Local Agency,No Entry in FireCode; GPS ground,GPS-Walked/ Driven,12/27/2010 0:00,2007-CA-2,2007,Small Highway,,6/8/2007 0:00,0.13225953,,,,CA,CA,,7-CA-2,,N,,784.0898438,136.9114594
1031,BLM,Perimeter Date Unknown,GPS-Unknown Travel Method,,2000-WYCAD-T814,2000,Henderson,,12/31/2000 0:00,8394.549664,,,,WYCAD,WY,,T814,,N,,63907529.71,63769.50805
1060,BLM,,Unknown,,2000-IDIFD-F877,2000,Hawkins,,8/30/2000 0:00,3072.069149,,,,IDIFD,ID,,F877,,N,,22879112.71,25659.27521
1091,State Agency,GPS ground; No entry in FireCode,GPS-Walked/ Driven,4/14/2011 0:00,2010-CANEU-022512,2010,Orr,,10/21/2010 0:00,30.23178479,,,,CANEU,CA,,22512,,N,,202730.6641,2227.130822
1092,BLM,GPS,GPS-Unknown Travel Method,10/25/2013 0:00,2010-NMLCD-000730,2010,Rim Tank,,9/18/2010 0:00,8.00691066,,FU9G,,NMLCD,NM,,730,,N,,45800.64844,1325.965911
1116,CDF,,Unknown,10/4/2010 0:00,2004-CATUU-004486,2004,Frazier,,5/7/2004 16:26,1563.705656,,A23W,,CATUU,CA,,4486,,N,,9747867.598,17465.39027
1125,CCO,,Hand Sketch,10/4/2010 0:00,2004-CAORC-047946,2004,Blackstar,,8/9/2004 14:46,35.22310182,,BA1X,,CAORC,CA,,47946,,N,,206782.4531,2074.614201
